ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-31172N|refseq:NP_057175|uniprotkb:Q9Y262	 DIP-32691N|refseq:NP_001559|uniprotkb:P60228	 -	 -	 -	-	MI:0069(mass spectrometry studies of complexes)|MI:0007(anti tag coimmunoprecipitation)	-	pmid:18599441|pmid:18599441	taxid:9606	taxid:9606	MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-69907E	dip-quality-status:non-core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-790N|refseq:NP_004949|uniprotkb:P42345	 DIP-42816N|refseq:NP_005605|uniprotkb:Q15382	 -	 -	 -	-	MI:0096(pull down)|MI:0096(pull down)	-	pmid:18550814|pmid:18550814	taxid:9606	taxid:9606	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-72852E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-31116N|refseq:NP_003748|uniprotkb:Q13347	 DIP-31115N|refseq:NP_003746|uniprotkb:O75821	 -	 -	 -	-	MI:0069(mass spectrometry studies of complexes)	-	pmid:18599441	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-74432E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-43981N|refseq:NP_056251|uniprotkb:Q96PM5	 DIP-24261N|uniprotkb:P62988	 -	 -	 -	-	MI:0808(comigration in sds page)	-	pmid:19043414	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-74576E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-44581N|uniprotkb:Q53EZ4	 DIP-29327N|refseq:NP_037506|uniprotkb:Q8WUM4	 -	 -	 -	-	MI:0096(pull down)|MI:0096(pull down)	-	pmid:18940611|pmid:18940611	taxid:9606	taxid:9606	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-75546E	dip-quality-status:non-core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-106N|refseq:NP_003989|uniprotkb:P19838	 DIP-139N|refseq:NP_065390|uniprotkb:P25963	 -	 -	 -	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pmid:14743216|pmid:14743216	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-76427E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-42656N|uniprotkb:Q9NZN8	 DIP-44954N|uniprotkb:A5YKK6	 -	 -	 -	-	MI:0676(tandem affinity purification)	-	pmid:11805826	taxid:9606	taxid:9606	MI:0915(physical association)	MI:0465(dip)	DIP-76799E	dip-quality-status:non-core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-42656N|uniprotkb:Q9NZN8	 DIP-29084N|refseq:NP_004770|uniprotkb:Q9UFF9	 -	 -	 -	-	MI:0676(tandem affinity purification)	-	pmid:11805826	taxid:9606	taxid:9606	MI:0915(physical association)	MI:0465(dip)	DIP-76803E	dip-quality-status:non-core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-106N|refseq:NP_003989|uniprotkb:P19838	 DIP-24238N|refseq:NP_068810|uniprotkb:Q04206	 -	 -	 -	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pmid:14743216|pmid:14743216	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-84694E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-436N|refseq:NP_002884|uniprotkb:Q16576	 DIP-33079N|uniprotkb:P62805	 -	 -	 -	-	MI:0114(x-ray crystallography)|MI:0096(pull down)|MI:0107(surface plasmon resonance)|MI:0114(x-ray crystallography)	-	pmid:18571423|pmid:18571423|pmid:18571423|pmid:18571423	taxid:9606	taxid:9606	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87759E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-436N|refseq:NP_002884|uniprotkb:Q16576	 DIP-37429N|refseq:NP_001087926|uniprotkb:P62799	 -	 -	 -	-	MI:0071(molecular sieving)|MI:0030(cross-linking study)	-	pmid:18571423|pmid:18571423	taxid:9606	taxid:8355	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87760E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-33949N|refseq:NP_444292|uniprotkb:P59768	 DIP-599N|refseq:NP_002065|uniprotkb:P62873	 -	 -	 -	-	MI:0071(molecular sieving)	-	pmid:18611381	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87764E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-599N|refseq:NP_002065|uniprotkb:P62873	 DIP-46025N|refseq:NP_064458|uniprotkb:P25961	 -	 -	 -	-	MI:0096(pull down)|MI:0107(surface plasmon resonance)	-	pmid:18611381|pmid:18611381	taxid:9606	taxid:10116	MI:0915(physical association)|MI:0218(physical interaction)	MI:0465(dip)	DIP-87766E	dip-quality-status:non-core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-46027N|refseq:NP_001093940|uniprotkb:P49791	 DIP-5929N|refseq:NP_006316|uniprotkb:P62826	 -	 -	 -	-	MI:0096(pull down)|MI:0018(two hybrid)|MI:0071(molecular sieving)|MI:0077(nuclear magnetic resonance)|MI:0114(x-ray crystallography)	-	pmid:18611384|pmid:18611384|pmid:18611384|pmid:18611384|pmid:18611384	taxid:10116	taxid:9606	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87768E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-46035N|refseq:NP_065386|uniprotkb:Q9GZX6	 DIP-42031N|refseq:NP_067081|uniprotkb:Q8N6P7	 -	 -	 -	-	MI:0114(x-ray crystallography)|MI:0107(surface plasmon resonance)	-	pmid:18599299|pmid:18599299	taxid:9606	taxid:9606	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87775E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-46036N|refseq:NP_851826|uniprotkb:Q969J5-2	 DIP-46035N|refseq:NP_065386|uniprotkb:Q9GZX6	 -	 -	 -	-	MI:0107(surface plasmon resonance)	-	pmid:18599299	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87776E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-46037N|refseq:NP_851827|uniprotkb:Q969J5-3	 DIP-46035N|refseq:NP_065386|uniprotkb:Q9GZX6	 -	 -	 -	-	MI:0107(surface plasmon resonance)	-	pmid:18599299	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87777E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-31134N|refseq:NP_037373|uniprotkb:Q9Y613	 DIP-31134N|refseq:NP_037373|uniprotkb:Q9Y613	 -	 -	 -	-	MI:0071(molecular sieving)	-	pmid:18786395	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87778E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-1050N|refseq:NP_005334|uniprotkb:P01112	 DIP-31134N|refseq:NP_037373|uniprotkb:Q9Y613	 -	 -	 -	-	MI:0065(isothermal titration calorimetry)	-	pmid:18786395	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87779E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-24269N|uniprotkb:P31749	 DIP-35654N|refseq:NP_002006|uniprotkb:Q12778	 -	 -	 -	-	MI:0424(protein kinase assay)	-	pmid:18786403	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87785E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-35654N|refseq:NP_002006|uniprotkb:Q12778	 DIP-32491N|refseq:NP_006273|uniprotkb:Q13043	 -	 -	 -	-	MI:0424(protein kinase assay)	-	pmid:18786403	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87786E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-328N|refseq:NP_612815|uniprotkb:Q07817	 DIP-29808N|refseq:NP_031570|uniprotkb:P70444	 -	 -	 -	-	MI:0006(anti bait coimmunoprecipitation)	-	pmid:18547146	taxid:9606	taxid:10090	MI:0407(direct interaction)	MI:0465(dip)	DIP-87790E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-29713N|refseq:NP_066285|uniprotkb:P24468	 DIP-29713N|refseq:NP_066285|uniprotkb:P24468	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:18798693	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87798E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-29713N|refseq:NP_066285|uniprotkb:P24468	 DIP-46053N	 -	 -	 -	-	MI:0051(fluorescence technology)	-	pmid:18798693	taxid:9606	taxid:-2	MI:0407(direct interaction)	MI:0465(dip)	DIP-87799E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-5799N|refseq:NP_031423|uniprotkb:P27040	 DIP-427N|refseq:NP_004293|uniprotkb:P36896	 -	 -	 -	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pmid:14966532|pmid:14966532|pmid:14966532|pmid:14966532	taxid:10090	taxid:9606	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87813E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-46069N|refseq:XP_606825	 DIP-380N|refseq:NP_004153|uniprotkb:P20339	 -	 -	 -	-	MI:0096(pull down)|MI:0096(pull down)	-	pmid:15328530|pmid:15328530	taxid:9913	taxid:9606	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87827E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-46068N|uniprotkb:Q9P2R3	 DIP-380N|refseq:NP_004153|uniprotkb:P20339	 -	 -	 -	-	MI:0096(pull down)|MI:0096(pull down)	-	pmid:15328530|pmid:15328530	taxid:9606	taxid:9606	MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-87828E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-29686N|refseq:NP_001092|uniprotkb:P60709	 DIP-34638N|refseq:NP_000108|uniprotkb:P50402	 -	 -	 -	-	MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)	-	pmid:15328537|pmid:15328537	taxid:9606	taxid:9606	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87836E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-34638N|refseq:NP_000108|uniprotkb:P50402	 DIP-29021N|uniprotkb:P68135	 -	 -	 -	-	MI:0416(fluorescence microscopy)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)	-	pmid:15328537|pmid:15328537|pmid:15328537	taxid:9606	taxid:9986	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87837E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-29201N|refseq:NP_006256|uniprotkb:O60216	 DIP-46079N|uniprotkb:Q14674	 -	 -	 -	-	MI:0435(protease assay)	-	pmid:15737063	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87842E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-46083N|uniprotkb:Q00496	 DIP-34554N|uniprotkb:P60880	 -	 -	 -	-	MI:0435(protease assay)	-	pmid:16131227	taxid:1491	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87847E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-46086N|refseq:NP_004580|uniprotkb:O75880	 DIP-46087N|refseq:NP_005685|uniprotkb:Q14061	 -	 -	 -	-	MI:0077(nuclear magnetic resonance)|MI:0069(mass spectrometry studies of complexes)	-	pmid:18458339|pmid:18458339	taxid:9606	taxid:9606	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87850E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-46087N|refseq:NP_005685|uniprotkb:Q14061	 DIP-46088N|refseq:NP_005129|uniprotkb:O43819	 -	 -	 -	-	MI:0077(nuclear magnetic resonance)	-	pmid:18458339	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87851E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-33544N|uniprotkb:P20823	 DIP-46090N|refseq:NP_569725|uniprotkb:Q8VI67	 -	 -	 -	-	MI:0007(anti tag coimmunoprecipitation)	-	pmid:18458345	taxid:9606	taxid:10090	MI:0915(physical association)	MI:0465(dip)	DIP-87853E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-163N|refseq:NP_003190|uniprotkb:P15884	 DIP-46090N|refseq:NP_569725|uniprotkb:Q8VI67	 -	 -	 -	-	MI:0007(anti tag coimmunoprecipitation)	-	pmid:18458345	taxid:9606	taxid:10090	MI:0915(physical association)	MI:0465(dip)	DIP-87854E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-44044N|uniprotkb:P26233	 DIP-33544N|uniprotkb:P20823	 -	 -	 -	-	MI:0096(pull down)	-	pmid:18458345	taxid:8355	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87855E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-42180N|refseq:NP_000703|uniprotkb:P53004	 DIP-30985N|refseq:NP_002737|uniprotkb:P27361	 -	 -	 -	-	MI:0424(protein kinase assay)	-	pmid:18463290	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87856E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-42180N|refseq:NP_000703|uniprotkb:P53004	 DIP-519N|uniprotkb:P28482	 -	 -	 -	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pmid:18463290|pmid:18463290	taxid:9606	taxid:9606	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87857E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-29369N|uniprotkb:P25786	 DIP-46091N|refseq:NP_081122|uniprotkb:Q91X58	 -	 -	 -	-	MI:0096(pull down)	-	pmid:18467495	taxid:9606	taxid:10090	MI:0915(physical association)	MI:0465(dip)	DIP-87862E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-46092N|refseq:NP_579927|uniprotkb:Q9JII7	 DIP-29369N|uniprotkb:P25786	 -	 -	 -	-	MI:0096(pull down)	-	pmid:18467495	taxid:10090	taxid:9606	MI:0915(physical association)	MI:0465(dip)	DIP-87863E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-46093N	 DIP-29369N|uniprotkb:P25786	 -	 -	 -	-	MI:0096(pull down)	-	pmid:18467495	taxid:-2	taxid:9606	MI:0915(physical association)	MI:0465(dip)	DIP-87864E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-575N|refseq:NP_000116|uniprotkb:Q14268	 DIP-575N|refseq:NP_000116|uniprotkb:Q14268	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:18474858	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87866E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-38018N|refseq:NP_036457|uniprotkb:Q15691	 DIP-34530N|refseq:NP_004208|uniprotkb:Q96GD4	 -	 -	 -	-	MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)|MI:0018(two hybrid)|MI:0096(pull down)	-	pmid:18477699|pmid:18477699|pmid:18477699|pmid:18477699|pmid:18477699	taxid:9606	taxid:9606	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87867E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-29774N|refseq:NP_000123|uniprotkb:P00451	 DIP-6115N|refseq:NP_000497|uniprotkb:P00734	 -	 -	 -	-	MI:0435(protease assay)	-	pmid:18492805	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87882E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-29774N|refseq:NP_000123|uniprotkb:P00451	 DIP-36050N|uniprotkb:Q76LX8	 -	 -	 -	-	MI:0107(surface plasmon resonance)	-	pmid:18492805	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87883E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-29774N|refseq:NP_000123|uniprotkb:P00451	 DIP-29667N|refseq:NP_000543|uniprotkb:P04275	 -	 -	 -	-	MI:0411(enzyme linked immunosorbent assay)	-	pmid:18492805	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87884E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-46107N|refseq:NP_001008410|uniprotkb:Q658P3-1	 DIP-46107N|refseq:NP_001008410|uniprotkb:Q658P3-1	 -	 -	 -	-	MI:0071(molecular sieving)|MI:0114(x-ray crystallography)	-	pmid:18495927|pmid:18495927	taxid:9606	taxid:9606	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87885E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-558N|refseq:NP_002600|uniprotkb:P09619	 DIP-558N|refseq:NP_002600|uniprotkb:P09619	 -	 -	 -	-	MI:0808(comigration in sds page)	-	pmid:18505839	taxid:9606	taxid:9606	MI:0915(physical association)	MI:0465(dip)	DIP-87888E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-29722N|refseq:NP_001521|uniprotkb:Q16665	 DIP-35053N|uniprotkb:P11474	 -	 -	 -	-	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)	-	pmid:18509053|pmid:18509053|pmid:18509053	taxid:9606	taxid:9606	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87895E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-46110N|refseq:NP_036064|uniprotkb:Q61539	 DIP-29722N|refseq:NP_001521|uniprotkb:Q16665	 -	 -	 -	-	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)	-	pmid:18509053|pmid:18509053	taxid:10090	taxid:9606	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87896E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-29899N|refseq:NP_003734|uniprotkb:Q15788	 DIP-46110N|refseq:NP_036064|uniprotkb:Q61539	 -	 -	 -	-	MI:0096(pull down)	-	pmid:18509053	taxid:9606	taxid:10090	MI:0407(direct interaction)	MI:0465(dip)	DIP-87899E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-46111N|refseq:NP_036065|uniprotkb:P62509-1	 DIP-29899N|refseq:NP_003734|uniprotkb:Q15788	 -	 -	 -	-	MI:0096(pull down)	-	pmid:18509053	taxid:10090	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-87900E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-46112N|refseq:NP_001035196|uniprotkb:Q96D96	 DIP-46112N|refseq:NP_001035196|uniprotkb:Q96D96	 -	 -	 -	-	MI:0031(protein cross-linking with a bifunctional reagent)|MI:0030(cross-linking study)	-	pmid:18509058|pmid:18509058	taxid:9606	taxid:9606	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87901E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-46113N|refseq:NP_062518|uniprotkb:Q8C2B3-1	 DIP-38481N|uniprotkb:Q15139	 -	 -	 -	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pmid:18509061|pmid:18509061|pmid:18509061	taxid:10090	taxid:9606	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87902E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24261N|uniprotkb:P62988	 DIP-46114N|uniprotkb:O56652	 -	 -	 -	-	MI:0006(anti bait coimmunoprecipitation)	-	pmid:18511559	taxid:9606	taxid:10804	MI:0915(physical association)	MI:0465(dip)	DIP-87903E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-175N|uniprotkb:P29466	 DIP-41998N|refseq:NP_071445|uniprotkb:Q9HC29	 -	 -	 -	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pmid:18511561|pmid:18511561|pmid:18511561	taxid:9606	taxid:9606	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87905E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-44806N|refseq:NP_001216|uniprotkb:P49662	 DIP-41998N|refseq:NP_071445|uniprotkb:Q9HC29	 -	 -	 -	-	MI:0007(anti tag coimmunoprecipitation)	-	pmid:18511561	taxid:9606	taxid:9606	MI:0915(physical association)	MI:0465(dip)	DIP-87906E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-38407N|uniprotkb:Q9C000	 DIP-41998N|refseq:NP_071445|uniprotkb:Q9HC29	 -	 -	 -	-	MI:0006(anti bait coimmunoprecipitation)	-	pmid:18511561	taxid:9606	taxid:9606	MI:0915(physical association)	MI:0465(dip)	DIP-87908E	dip-quality-status:non-core	dip:0004(small scale)	dip:0039(experimental-processed)	-
DIP-29327N|refseq:NP_037506|uniprotkb:Q8WUM4	 DIP-38342N|refseq:NP_689497|uniprotkb:Q96CF2	 -	 -	 -	-	MI:0114(x-ray crystallography)|MI:0107(surface plasmon resonance)	-	pmid:18511562|pmid:18511562	taxid:9606	taxid:9606	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-87909E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-46117N|refseq:NP_963890|uniprotkb:Q08289-1	 DIP-29589N|uniprotkb:Q13936	 -	 -	 -	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pmid:18535142|pmid:18535142|pmid:18535142|pmid:18535142|pmid:18535142|pmid:18535142|pmid:18535142|pmid:18535142	taxid:9606	taxid:9606	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87913E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-29589N|uniprotkb:Q13936	 DIP-29528N|uniprotkb:P62161	 -	 -	 -	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pmid:18535142|pmid:18535142|pmid:18535142|pmid:18535142	taxid:9606	taxid:10116	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-87914E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
